employee_id,employee_name,shift,shift_start,shift_end,skill_level
E001,Emp001,A,2025-11-01 06:00,2025-11-01 14:00,0.77
E002,Emp002,B,2025-11-01 14:00,2025-11-01 22:00,1.0
E003,Emp003,C,2025-11-01 22:00,2025-11-02 06:00,0.85
E004,Emp004,A,2025-11-01 06:00,2025-11-01 14:00,0.86
E005,Emp005,B,2025-11-01 14:00,2025-11-01 22:00,0.77
E006,Emp006,C,2025-11-01 22:00,2025-11-02 06:00,0.8
E007,Emp007,A,2025-11-01 06:00,2025-11-01 14:00,0.81
E008,Emp008,B,2025-11-01 14:00,2025-11-01 22:00,0.97
E009,Emp009,C,2025-11-01 22:00,2025-11-02 06:00,0.77
E010,Emp010,A,2025-11-01 06:00,2025-11-01 14:00,0.73
E011,Emp011,B,2025-11-01 14:00,2025-11-01 22:00,0.6
E012,Emp012,C,2025-11-01 22:00,2025-11-02 06:00,0.61
E013,Emp013,A,2025-11-01 06:00,2025-11-01 14:00,0.77
E014,Emp014,B,2025-11-01 14:00,2025-11-01 22:00,0.82
E015,Emp015,C,2025-11-01 22:00,2025-11-02 06:00,0.56
E016,Emp016,A,2025-11-01 06:00,2025-11-01 14:00,0.87
E017,Emp017,B,2025-11-01 14:00,2025-11-01 22:00,0.82
E018,Emp018,C,2025-11-01 22:00,2025-11-02 06:00,0.82
E019,Emp019,A,2025-11-01 06:00,2025-11-01 14:00,0.75
E020,Emp020,B,2025-11-01 14:00,2025-11-01 22:00,0.8
